date,house_price_idx,house_price_idx_pct,kr_cpi,kr_unemployment,kr_base_rate,kr_mortgage_rate,kospi200,apt_trade_count,kr_m2
2019-05,91.1315669872593,-0.3249723576414842,99.652,3.8,1.75,2.93,269.44762021019346,35710.0,2586775.9
2019-06,90.8838396598701,-0.2718348159467476,99.491,3.9,1.75,2.74,272.7173670718544,35221.0,2606774.3
2019-07,90.6858412061463,-0.2178588123750047,99.187,4.0,1.5,2.64,272.14739194123644,44391.0,2620523.2
2019-08,90.555401951339,-0.1438364060722508,99.425,3.6,1.5,2.47,255.90333266485305,45497.0,2644959.4
2019-09,90.5088970777652,-0.051355162222999,99.794,3.6,1.5,2.51,270.15368331106083,43979.0,2662001.2
2019-10,90.6078138958874,0.1092896072274696,100.041,3.5,1.25,2.5,273.83905029296875,58311.0,2682026.6
2019-11,90.8123857220434,0.2257772452065376,99.481,3.7,1.25,2.45,282.5038088843936,66768.0,2710328.8
2019-12,91.2740094786173,0.5083268685252218,99.719,3.5,1.25,2.45,286.46399688720703,87933.0,2716614.0
2020-01,91.6142025843197,0.3727162942064987,100.09,3.4,1.25,2.51,296.2434967041016,75986.0,2743827.9
2020-02,92.0284540164769,0.45216944586286,100.16,3.4,1.25,2.52,292.2909957885742,87642.0,2776793.5
2020-03,92.7590210697856,0.7938490992991154,99.94,3.9,0.75,2.48,242.07909046519887,79615.0,2798640.8
2020-04,93.1129888519257,0.3815993076013546,99.5,3.9,0.75,2.58,246.5430000305176,48972.0,2854169.7
2020-05,93.2623131928158,0.1603689697122323,99.44,4.3,0.5,2.52,259.2589488782381,57426.0,2898342.4
2020-06,93.7986836696167,0.5751202800341915,99.71,4.2,0.5,2.49,283.0354558771307,102482.0,2919411.8
2020-07,94.6301713325663,0.8864598418868219,99.63,4.2,0.5,2.45,291.188696819803,102628.0,2939115.7
2020-08,95.2412300707298,0.6457335219398397,100.19,3.9,0.5,2.39,311.903498840332,59429.0,2957901.9
2020-09,95.7829721095466,0.568810417940302,100.74,4.2,0.5,2.44,313.6895272391183,58037.0,2982103.5
2020-10,96.1624242925998,0.3961582885726455,100.18,4.3,0.5,2.47,313.9731589869449,66174.0,3013051.7
2020-11,96.8860983529135,0.7525538854051161,100.09,4.1,0.5,2.56,334.30714198521207,89660.0,3039765.8
2020-12,98.183261383615,1.338853615486202,100.33,4.1,0.5,2.59,370.7076168968564,106027.0,3052959.4
2021-01,99.3065957617493,1.144120048880115,101.04,4.6,0.5,2.63,420.5300003051758,64371.0,3082103.7
2021-02,100.611821455381,1.3143393785878257,101.58,4.1,0.5,2.66,419.4961123996311,60057.0,3112805.6
2021-03,101.683898146498,1.065557382431881,101.84,4.0,0.5,2.73,412.50181857022375,69827.0,3139751.8
2021-04,102.715132664469,1.014157144610328,101.98,3.8,0.5,2.73,427.7231805974787,59232.0,3176515.7
2021-05,103.718354307429,0.9767028644524388,102.05,3.8,0.5,2.69,423.65736790707234,61666.0,3208328.8
2021-06,105.482427873995,1.7008306565847953,102.05,3.7,0.5,2.74,434.3090931285511,57861.0,3219485.9
2021-07,106.755496790908,1.2069014172045422,102.26,3.3,0.5,2.81,431.9859092018821,59386.0,3257056.3
2021-08,108.190356601018,1.3440617609792316,102.75,3.4,0.75,2.88,418.9319036574591,61170.0,3293240.3
