feature_kr,feature_value,shap_value
S&P500-KOSPI200 스프레드,-0.009552,-0.12912926
S&P500-KOSPI200 스프레드,-0.014581,-0.12774707
S&P500-KOSPI200 스프레드,0.009218,0.03809661
S&P500-KOSPI200 스프레드,-0.004679,0.025223779
S&P500-KOSPI200 스프레드,0.005275,0.030272717
S&P500-KOSPI200 스프레드,0.004991,0.029873112
S&P500-KOSPI200 스프레드,0.018819,0.027676536
S&P500-KOSPI200 스프레드,-0.005624,0.005063021
S&P500-KOSPI200 스프레드,-0.007499,0.01733264
S&P500-KOSPI200 스프레드,-0.008567,-0.033507816
S&P500-KOSPI200 스프레드,-0.00162,0.036839016
S&P500-KOSPI200 스프레드,0.004886,0.04290395
S&P500-KOSPI200 스프레드,-0.006148,-0.0049833315
S&P500-KOSPI200 스프레드,-0.004387,0.01614057
S&P500-KOSPI200 스프레드,-0.000931,0.03466536
S&P500-KOSPI200 스프레드,-0.005056,0.012895937
S&P500-KOSPI200 스프레드,-0.012376,-0.120378405
S&P500-KOSPI200 스프레드,-0.016856,-0.19172816
S&P500-KOSPI200 스프레드,0.002379,0.037411213
S&P500-KOSPI200 스프레드,-0.016411,-0.14872605
S&P500-KOSPI200 스프레드,0.000771,0.031483658
S&P500-KOSPI200 스프레드,0.002065,0.030866075
S&P500-KOSPI200 스프레드,-0.004957,0.01761886
S&P500-KOSPI200 스프레드,-0.007677,0.026543539
S&P500-KOSPI200 스프레드,0.051011,0.07209069
S&P500-KOSPI200 스프레드,-0.017597,-0.19814977
S&P500-KOSPI200 스프레드,-0.011487,-0.17252104
S&P500-KOSPI200 스프레드,0.001998,0.044496752
S&P500-KOSPI200 스프레드,-0.027401,-0.13582127
S&P500-KOSPI200 스프레드,0.011074,0.033548485
S&P500-KOSPI200 스프레드,-0.028066,-0.19812608
S&P500-KOSPI200 스프레드,0.003737,0.04942184
S&P500-KOSPI200 스프레드,-0.012817,-0.18649603
S&P500-KOSPI200 스프레드,-0.015446,-0.11711424
S&P500-KOSPI200 스프레드,0.023082,0.042138495
S&P500-KOSPI200 스프레드,-0.015268,-0.116727434
S&P500-KOSPI200 스프레드,-0.009648,-0.10642117
S&P500-KOSPI200 스프레드,0.002145,0.05347601
S&P500-KOSPI200 스프레드,-0.009738,-0.122749455
S&P500-KOSPI200 스프레드,-0.003928,0.013550977
S&P500-KOSPI200 스프레드,0.023108,0.03906978
S&P500-KOSPI200 스프레드,0.007661,0.0590041
S&P500-KOSPI200 스프레드,-0.022294,-0.12738992
S&P500-KOSPI200 스프레드,0.010045,0.043871965
S&P500-KOSPI200 스프레드,0.001104,0.042266704
S&P500-KOSPI200 스프레드,0.036329,0.028272105
S&P500-KOSPI200 스프레드,-0.013728,-0.13612053
S&P500-KOSPI200 스프레드,0.012523,0.023304427
S&P500-KOSPI200 스프레드,-0.038463,-0.11507369
S&P500-KOSPI200 스프레드,-0.046984,-0.14330193
S&P500-KOSPI200 스프레드,0.05569,0.0729055
S&P500-KOSPI200 스프레드,-0.017089,-0.2056794
S&P500-KOSPI200 스프레드,0.112894,0.061104666
S&P500-KOSPI200 스프레드,-0.102089,-0.106743075
S&P500-KOSPI200 스프레드,0.026582,0.033749036
S&P500-KOSPI200 스프레드,-0.001394,0.03995613
S&P500-KOSPI200 스프레드,-0.010365,-0.0992213
S&P500-KOSPI200 스프레드,-0.00836,-0.048394572
S&P500-KOSPI200 스프레드,-0.007235,0.024034364
S&P500-KOSPI200 스프레드,-0.032792,-0.09345822
S&P500-KOSPI200 스프레드,0.027243,0.048083767
S&P500-KOSPI200 스프레드,0.000441,0.037149686
S&P500-KOSPI200 스프레드,0.020918,0.039204817
S&P500-KOSPI200 스프레드,-0.002066,0.016734716
S&P500-KOSPI200 스프레드,1.7e-05,0.04108406
S&P500-KOSPI200 스프레드,-7.2e-05,0.06378608
S&P500-KOSPI200 스프레드,0.002424,0.038979147
S&P500-KOSPI200 스프레드,0.006299,0.05747799
S&P500-KOSPI200 스프레드,0.014579,0.066730864
S&P500-KOSPI200 스프레드,-0.006382,0.015266515
S&P500-KOSPI200 스프레드,-0.007693,0.026567392
S&P500-KOSPI200 스프레드,-0.003092,0.0044387863
S&P500-KOSPI200 스프레드,0.005331,0.039288726
S&P500-KOSPI200 스프레드,-0.00077,0.07058899
S&P500-KOSPI200 스프레드,0.016189,0.06531924
S&P500-KOSPI200 스프레드,0.006989,0.04212648
S&P500-KOSPI200 스프레드,-0.012283,-0.21218926
S&P500-KOSPI200 스프레드,0.011608,0.03610374
S&P500-KOSPI200 스프레드,0.003311,0.06482591
S&P500-KOSPI200 스프레드,0.011948,0.055968747
S&P500-KOSPI200 스프레드,-0.005179,0.035058714
S&P500-KOSPI200 스프레드,-0.022936,-0.12753089
S&P500-KOSPI200 스프레드,0.012664,0.034274388
S&P500-KOSPI200 스프레드,-0.0081,-0.023864098
S&P500-KOSPI200 스프레드,0.003082,0.04010663
S&P500-KOSPI200 스프레드,-0.020033,-0.1273842
S&P500-KOSPI200 스프레드,-0.014846,-0.21563052
S&P500-KOSPI200 스프레드,0.009448,0.05500717
S&P500-KOSPI200 스프레드,0.003907,0.04313623
S&P500-KOSPI200 스프레드,0.0058,0.0625195
S&P500-KOSPI200 스프레드,-0.028312,-0.09930828
S&P500-KOSPI200 스프레드,-0.023228,-0.18157108
S&P500-KOSPI200 스프레드,0.010281,0.04093751
S&P500-KOSPI200 스프레드,-0.01621,-0.23580536
S&P500-KOSPI200 스프레드,0.000783,0.067189984
S&P500-KOSPI200 스프레드,-0.015738,-0.18388976
S&P500-KOSPI200 스프레드,0.001693,0.06327963
S&P500-KOSPI200 스프레드,-0.002797,0.014353388
S&P500-KOSPI200 스프레드,-0.00832,-0.037023004
S&P500-KOSPI200 스프레드,-0.01094,-0.105144046
S&P500-KOSPI200 스프레드,-0.009621,-0.20340136
S&P500-KOSPI200 스프레드,-0.018375,-0.1396092
S&P500-KOSPI200 스프레드,0.012074,0.044787973
S&P500-KOSPI200 스프레드,-0.022119,-0.17451122
S&P500-KOSPI200 스프레드,-0.004192,0.0159139
S&P500-KOSPI200 스프레드,0.017198,0.061246824
S&P500-KOSPI200 스프레드,0.012292,0.060962144
S&P500-KOSPI200 스프레드,0.000609,0.051962145
S&P500-KOSPI200 스프레드,-0.005122,0.033761233
S&P500-KOSPI200 스프레드,0.009141,0.03670046
S&P500-KOSPI200 스프레드,-0.007369,0.025645606
S&P500-KOSPI200 스프레드,0.01948,0.036803354
S&P500-KOSPI200 스프레드,-0.008541,-0.051290955
S&P500-KOSPI200 스프레드,-0.02057,-0.18709387
S&P500-KOSPI200 스프레드,0.004163,0.050202113
S&P500-KOSPI200 스프레드,-0.012419,-0.19014147
S&P500-KOSPI200 스프레드,-0.002481,0.021196043
S&P500-KOSPI200 스프레드,-0.008918,-0.17663349
S&P500-KOSPI200 스프레드,-0.009251,-0.14026426
S&P500-KOSPI200 스프레드,0.01152,0.043182537
S&P500-KOSPI200 스프레드,0.004261,0.051708907
S&P500-KOSPI200 스프레드,0.001161,0.05382995
S&P500-KOSPI200 스프레드,-0.006627,0.01701779
S&P500-KOSPI200 스프레드,0.015618,0.039086327
S&P500-KOSPI200 스프레드,0.003163,0.029285405
S&P500-KOSPI200 스프레드,0.000721,0.040313255
S&P500-KOSPI200 스프레드,0.00223,0.06971902
S&P500-KOSPI200 스프레드,-0.005835,0.012238219
S&P500-KOSPI200 스프레드,-0.008659,-0.22762898
S&P500-KOSPI200 스프레드,-0.010358,-0.22112925
S&P500-KOSPI200 스프레드,-0.000944,0.052389342
S&P500-KOSPI200 스프레드,0.024774,0.057209715
S&P500-KOSPI200 스프레드,0.005063,0.0349197
S&P500-KOSPI200 스프레드,-0.020065,-0.09439787
S&P500-KOSPI200 스프레드,0.008604,0.035488877
S&P500-KOSPI200 스프레드,-0.011641,-0.15199983
S&P500-KOSPI200 스프레드,0.012118,0.03738005
S&P500-KOSPI200 스프레드,-0.002089,0.013163109
S&P500-KOSPI200 스프레드,0.015177,0.03513799
S&P500-KOSPI200 스프레드,-0.009026,-0.19394678
S&P500-KOSPI200 스프레드,0.001104,0.042036276
S&P500-KOSPI200 스프레드,-0.002897,0.013060352
S&P500-KOSPI200 스프레드,0.016804,0.060466208
S&P500-KOSPI200 스프레드,0.001155,0.05203248
S&P500-KOSPI200 스프레드,0.003481,0.043146443
S&P500-KOSPI200 스프레드,-0.005774,0.018114882
S&P500-KOSPI200 스프레드,0.00555,0.045357887
S&P500-KOSPI200 스프레드,-0.016845,-0.13202912
S&P500-KOSPI200 스프레드,0.014459,0.035707492
S&P500-KOSPI200 스프레드,0.000295,0.048603024
S&P500-KOSPI200 스프레드,-0.000329,0.03969825
S&P500-KOSPI200 스프레드,-0.002484,0.033425525
S&P500-KOSPI200 스프레드,-0.002342,0.024890862
S&P500-KOSPI200 스프레드,-8.5e-05,0.049173493
S&P500-KOSPI200 스프레드,0.003815,0.02683623
S&P500-KOSPI200 스프레드,-0.004414,0.011838096
S&P500-KOSPI200 스프레드,-0.002491,0.03758645
S&P500-KOSPI200 스프레드,-0.012099,-0.10343669
S&P500-KOSPI200 스프레드,-0.016891,-0.096813686
S&P500-KOSPI200 스프레드,-0.000291,0.044788398
S&P500-KOSPI200 스프레드,-0.019734,-0.111752234
S&P500-KOSPI200 스프레드,0.000579,0.04166326
S&P500-KOSPI200 스프레드,-0.018936,-0.16056477
S&P500-KOSPI200 스프레드,0.011423,0.028670799
S&P500-KOSPI200 스프레드,-0.013091,-0.13520321
S&P500-KOSPI200 스프레드,0.008883,0.039422102
S&P500-KOSPI200 스프레드,-0.005834,0.021052686
S&P500-KOSPI200 스프레드,-0.012297,-0.09647566
S&P500-KOSPI200 스프레드,-0.000458,0.028674792
S&P500-KOSPI200 스프레드,-0.005509,-0.0021985495
S&P500-KOSPI200 스프레드,0.032117,0.04305639
S&P500-KOSPI200 스프레드,-0.012727,-0.10693995
S&P500-KOSPI200 스프레드,0.006595,0.02641761
S&P500-KOSPI200 스프레드,-0.007865,0.039230052
S&P500-KOSPI200 스프레드,-0.02867,-0.1149296
S&P500-KOSPI200 스프레드,6.6e-05,0.03375914
S&P500-KOSPI200 스프레드,0.003647,0.044802364
S&P500-KOSPI200 스프레드,-0.003811,0.005352099
S&P500-KOSPI200 스프레드,0.005828,0.030215537
S&P500-KOSPI200 스프레드,-0.002756,0.004197505
S&P500-KOSPI200 스프레드,-0.054594,-0.09288617
S&P500-KOSPI200 스프레드,0.025658,0.04642472
S&P500-KOSPI200 스프레드,0.008359,0.023844993
S&P500-KOSPI200 스프레드,-0.023465,-0.096074246
S&P500-KOSPI200 스프레드,-0.03352,-0.10965476
S&P500-KOSPI200 스프레드,0.003307,0.030869996
S&P500-KOSPI200 스프레드,-0.007977,-0.03363273
S&P500-KOSPI200 스프레드,3.3e-05,0.047840837
S&P500-KOSPI200 스프레드,-0.018994,-0.15065022
S&P500-KOSPI200 스프레드,0.017291,0.07002625
S&P500-KOSPI200 스프레드,-0.017528,-0.19436787
S&P500-KOSPI200 스프레드,-0.016219,-0.10166009
S&P500-KOSPI200 스프레드,0.013213,0.0534406
S&P500-KOSPI200 스프레드,-0.021491,-0.21391556
S&P500-KOSPI200 스프레드,-0.016379,-0.18133079
S&P500-KOSPI200 스프레드,-0.004771,0.021777915
S&P500-KOSPI200 스프레드,-0.032052,-0.17281124
S&P500-KOSPI200 스프레드,0.016793,0.0638811
S&P500-KOSPI200 스프레드,0.032076,0.05124796
